fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/08/04 11:50;26.024;879.848;843.048;813.715;874.316;850.289;799.709;0.451;-0.308;-0.107;937.236;0.442;301.111;50.015;114.482;28.262;45.481;864.265;802.977;1050.504;381.312;31.088;6.732;0.468;175.08;0.0;0.0;50.015;114.483
2021/08/04 11:51;26.312;878.02;839.02;811.082;874.571;851.219;801.501;0.483;-0.201;-0.008;937.235;0.51;200.021;50.188;114.739;28.769;44.146;866.173;799.627;1040.307;381.613;31.346;6.69;0.561;119.559;0.0;0.0;50.188;114.74
2021/08/04 11:52;26.356;872.275;838.056;809.831;868.401;848.057;800.455;0.288;-0.046;-0.185;937.232;0.884;218.007;50.36;114.997;29.175;43.076;862.635;798.659;1037.606;382.413;31.621;6.678;0.887;144.313;0.0;0.0;50.361;114.998
2021/08/04 11:53;26.197;869.3;839.952;810.518;866.947;847.797;800.832;0.329;-0.019;-0.254;937.232;1.528;337.24;50.532;115.257;29.274;42.603;862.125;800.079;1041.749;382.576;31.747;6.692;1.474;243.142;0.0;0.0;50.532;115.258
2021/08/04 11:54;26.036;868.38;833.249;803.095;865.8;847.191;800.934;0.288;-0.035;-0.29;937.232;1.579;175.364;50.704;115.521;29.153;42.665;862.193;793.078;1035.489;381.445;31.736;6.638;1.66;163.983;0.0;0.0;50.704;115.52
2021/08/04 12:15;25.947;881.033;870.961;843.064;886.23;856.26;808.485;0.297;-0.006;-0.336;937.42;2.604;277.409;54.21;121.404;28.76;43.945;879.329;833.953;1019.878;381.602;30.1;6.961;2.788;269.408;0.0;0.0;54.212;121.41
2021/08/04 12:16;25.802;879.633;874.35;845.393;884.506;855.537;808.656;0.463;-0.371;-0.101;937.419;2.19;298.077;54.371;121.706;28.803;43.669;878.606;837.302;1017.658;381.392;30.127;6.981;2.285;275.75;0.0;0.0;54.374;121.711
2021/08/04 12:17;25.983;880.383;878.01;848.407;883.624;855.243;809.027;0.316;-0.261;-0.305;937.418;1.734;332.52;54.532;122.009;28.855;43.919;878.459;840.962;1016.43;381.89;30.222;7.005;1.972;223.367;0.0;0.0;54.535;122.015
2021/08/04 12:18;25.98;883.989;876.585;846.452;887.152;857.384;810.79;0.287;-0.125;-0.399;937.418;1.648;354.709;54.694;122.314;28.942;43.669;881.233;840.149;1010.692;381.831;30.344;6.989;1.927;181.458;0.0;0.0;54.696;122.319
2021/08/04 12:19;25.658;889.672;877.498;847.788;895.986;862.11;814.119;0.375;0.017;-0.216;937.366;1.659;202.761;54.854;122.621;28.797;43.603;887.611;842.136;1009.473;381.689;30.425;6.994;1.746;115.225;0.0;0.0;54.856;122.626
2021/08/04 12:20;25.427;895.212;882.972;852.357;904.311;866.382;817.132;0.267;-0.11;-0.339;937.274;2.086;55.869;55.014;122.93;28.541;44.0;893.803;848.206;1011.197;381.902;30.532;7.037;1.878;46.033;0.0;0.0;55.016;122.935
