fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/29 18:49;9.533;0.0;-4.783;-4.418;-0.299;5.91;7.014;0.421;-0.048;-0.123;940.272;0.697;33.517;0;250.279;9.616;98.009;0.01;-5.269;-0.24;293.322;9.983;-1.575;0.537;41.425;0.0;0.0;-0.402;250.281
2021/01/29 18:50;9.616;0.0;-4.583;-4.78;-0.306;5.917;7.013;0.498;-0.109;-0.084;940.272;0.646;29.406;0;250.436;9.636;98.458;0.014;-5.213;-0.593;292.32;9.944;-1.393;0.518;38.567;0.0;0.0;-0.402;250.438
2021/01/29 18:51;9.644;0.0;-4.463;-4.167;-0.298;5.907;7.015;0.387;-0.056;-0.082;940.271;0.636;25.232;0;250.593;9.657;98.628;0.012;-4.662;-0.105;291.266;9.915;-0.821;0.436;45.333;0.0;0.0;-0.402;250.596
2021/01/29 18:56;9.601;0.0;-4.568;-4.364;-0.298;5.909;7.015;0.493;-0.117;-0.074;940.271;0.467;354.191;0;251.377;9.606;98.606;0.003;-4.354;0.409;290.378;9.747;-2.449;0.333;210.233;0.0;0.0;-0.402;251.38
2021/01/29 18:57;9.525;0.0;-4.535;-4.188;-0.302;5.91;7.015;0.375;-0.083;-0.039;940.271;0.462;182.463;0;251.533;9.554;98.49;0.006;-4.458;0.387;290.301;9.715;-1.587;0.372;135.942;0.0;0.0;-0.402;251.536
2021/01/29 18:58;9.399;0.0;-4.528;-4.309;-0.297;5.909;7.014;0.4;-0.117;-0.009;940.271;0.472;15.451;0;251.69;9.467;98.293;0.006;-4.456;0.681;290.24;9.674;-2.264;0.372;73.583;0.0;0.0;-0.402;251.692
2021/01/29 18:59;9.284;0.0;-4.568;-4.447;-0.296;5.909;7.014;0.486;-0.074;-0.124;940.27;0.498;16.484;0;251.846;9.395;98.243;0.005;-4.827;-0.027;290.164;9.624;-1.021;0.377;20.942;0.0;0.0;-0.402;251.848
2021/01/29 19:00;9.285;0.0;-4.583;-4.52;-0.302;5.912;7.015;0.406;-0.049;-0.115;940.27;0.516;7.15;0;252.002;9.364;98.554;0.019;-4.631;-0.871;290.131;9.577;-1.987;0.402;93.6;0.0;0.0;-0.402;252.004
2021/01/29 19:01;9.338;0.0;-4.521;-4.346;-0.3;5.91;7.015;0.497;-0.101;-0.098;940.27;0.598;9.082;0;252.157;9.368;99.022;0.022;-4.43;1.274;290.065;9.552;-4.902;0.471;186.442;0.0;0.0;-0.402;252.16
2021/01/29 19:02;9.339;0.0;-4.357;-4.235;-0.297;5.91;7.016;0.406;-0.051;-0.109;940.27;0.609;9.541;0;252.316;9.357;99.267;0.019;-4.539;2.334;290.006;9.544;-4.493;0.502;259.058;0.0;0.0;-0.402;252.316
2021/01/29 19:03;9.343;0.0;-4.185;-4.159;-0.298;5.912;7.016;0.407;-0.046;-0.115;940.27;0.506;5.407;0;252.472;9.34;99.337;0.013;-4.483;1.3;290.118;9.538;-2.216;0.483;311.342;0.0;0.0;-0.402;252.471
2021/01/29 19:10;9.311;0.0;-4.072;-5.193;-0.288;5.919;7.01;0.494;-0.112;-0.085;940.086;0.356;33.761;0;253.558;9.308;99.273;0.071;-4.877;-2.343;289.691;9.412;1.938;0.305;49.325;0.0;0.0;-0.402;253.558
2021/01/29 19:11;9.264;0.0;-4.149;-5.198;-0.288;5.919;7.01;0.499;-0.104;-0.093;940.151;0.378;27.283;0;253.712;9.275;99.183;0.086;-4.336;-1.41;289.775;9.384;-0.54;0.298;40.942;0.0;0.0;-0.402;253.712
2021/01/29 20:28;9.029;0.0;-3.284;-4.153;-0.282;5.919;7.013;0.498;-0.101;-0.101;939.769;0.285;149.317;0;254.359;8.974;98.76;0.204;-2.321;-1.458;289.106;8.55;-0.62;0.221;131.117;0.0;0.0;-0.402;254.358
