fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/08/05 10:57;27.423;872.985;615.616;600.838;877.179;858.011;797.069;0.494;-0.261;-0.061;938.034;0.686;179.595;40.319;102.907;30.381;32.097;857.825;588.001;953.68;371.816;32.324;4.974;0.771;153.35;0.0;0.0;40.319;102.908
2021/08/05 10:58;27.524;872.881;618.386;604.116;877.706;858.036;797.35;0.362;-0.039;-0.217;938.035;0.655;209.145;40.504;103.107;30.386;31.912;858.368;590.619;953.975;371.758;32.322;4.996;0.651;182.224;0.0;0.0;40.504;103.107
2021/08/05 10:59;27.534;872.744;620.686;606.685;877.482;857.741;797.274;0.462;-0.335;-0.077;938.03;0.57;267.75;40.689;103.307;30.315;31.726;858.489;592.705;954.152;371.718;32.35;5.013;0.456;241.657;0.0;0.0;40.689;103.307
2021/08/05 11:00;27.717;873.722;622.792;607.862;877.269;857.439;797.093;0.479;-0.096;-0.081;938.029;0.422;216.88;40.874;103.507;30.245;31.701;858.491;594.528;953.424;372.421;32.421;5.027;0.417;186.518;0.0;0.0;40.874;103.507
2021/08/05 11:01;27.776;875.853;626.086;610.873;879.261;858.657;798.172;0.434;-0.293;-0.143;938.03;0.734;162.042;41.059;103.708;30.323;31.326;860.127;597.643;953.937;372.863;32.495;5.051;0.809;137.409;0.0;0.0;41.059;103.709
2021/08/05 11:02;27.791;878.442;630.576;615.231;882.645;860.796;800.517;0.402;-0.269;-0.127;938.03;0.761;190.772;41.244;103.91;30.395;31.099;863.066;601.808;956.293;372.913;32.555;5.087;0.95;147.325;0.0;0.0;41.244;103.91
2021/08/05 11:03;27.97;880.298;634.648;618.947;884.864;862.205;802.102;0.275;-0.234;-0.46;938.03;0.494;124.191;41.427;104.113;30.536;30.891;865.09;605.381;957.345;373.032;32.594;5.118;0.727;128.65;0.0;0.0;41.428;104.113
2021/08/05 11:04;28.189;880.782;637.343;621.189;885.041;862.105;802.104;0.322;-0.23;-0.338;938.031;0.428;72.113;41.611;104.317;30.879;30.575;865.396;607.685;957.82;373.298;32.665;5.137;0.571;143.425;0.0;0.0;41.611;104.317
2021/08/05 11:05;28.268;881.247;639.837;623.719;885.054;861.655;801.837;0.494;-0.27;-0.048;938.032;0.594;142.936;41.795;104.521;31.44;30.555;865.312;609.89;958.886;373.659;32.764;5.155;0.868;168.425;0.0;0.0;41.796;104.521
2021/08/05 11:06;28.275;880.416;642.22;625.877;884.413;861.111;801.561;0.365;-0.058;-0.358;938.032;0.667;185.892;41.979;104.726;31.758;30.51;864.708;611.959;958.839;373.637;32.814;5.173;0.858;177.017;0.0;0.0;41.98;104.727
2021/08/05 11:07;28.305;880.434;644.891;628.12;884.342;861.285;802.208;0.36;-0.296;-0.238;938.032;0.718;183.874;42.163;104.933;31.779;30.352;865.124;614.301;958.526;373.678;32.889;5.193;0.82;182.067;0.0;0.0;42.163;104.933
2021/08/05 11:08;28.061;882.005;648.341;631.819;885.916;862.29;803.543;0.433;-0.096;-0.19;938.033;0.989;176.191;42.347;105.139;31.698;30.312;866.679;617.396;958.225;373.838;32.956;5.22;1.214;165.033;0.0;0.0;42.347;105.14
2021/08/05 11:09;27.77;882.351;651.478;634.532;887.018;862.72;804.254;0.263;0.016;-0.296;938.033;1.024;174.21;42.53;105.349;31.4;30.648;867.477;620.098;958.405;373.977;33.011;5.243;1.036;155.467;0.0;0.0;42.53;105.349
2021/08/05 11:10;27.797;884.174;655.347;637.369;889.875;864.421;805.841;0.299;-0.224;-0.287;938.024;0.739;172.747;42.713;105.558;31.277;31.0;869.753;623.522;960.213;374.561;33.097;5.273;0.902;147.042;0.0;0.0;42.713;105.558
2021/08/05 11:11;27.93;884.549;658.143;639.919;890.881;864.8;806.083;0.495;-0.125;-0.093;937.919;0.624;182.872;42.896;105.768;31.311;30.926;870.626;625.919;961.173;374.863;33.105;5.293;0.796;154.083;0.0;0.0;42.896;105.767
2021/08/05 11:12;27.905;882.667;659.706;641.789;889.75;863.573;804.719;0.452;-0.328;-0.1;937.824;0.724;188.517;43.079;105.978;31.264;30.819;869.769;627.055;960.201;374.614;33.087;5.304;0.694;174.983;0.0;0.0;43.079;105.978
2021/08/05 11:13;27.833;882.445;662.249;644.891;890.574;863.666;804.479;0.398;-0.331;-0.13;937.825;0.696;214.98;43.262;106.19;31.18;30.896;870.29;629.126;960.216;374.666;33.115;5.324;0.816;213.517;0.0;0.0;43.261;106.19
2021/08/05 11:14;27.754;883.533;665.545;648.622;892.679;864.69;805.174;0.282;-0.092;-0.278;937.826;0.765;224.663;43.444;106.402;31.099;30.971;871.895;631.841;961.534;375.156;33.084;5.349;0.954;212.333;0.0;0.0;43.443;106.403
2021/08/05 11:15;27.666;884.487;668.273;651.428;893.324;864.835;805.088;0.443;-0.124;-0.148;937.826;0.964;188.862;43.625;106.617;30.99;31.265;872.271;634.134;962.076;375.511;33.031;5.37;1.098;163.583;0.0;0.0;43.625;106.617
