fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/31 01:10;9.215;0.092;-1.925;-2.081;-0.283;5.912;7.014;0.487;-0.125;-0.061;933.061;3.174;276.331;0;254.793;9.167;57.623;0.153;-1.191;0.411;294.648;10.03;-4.85;3.595;266.708;0.0;0.0;0;254.793
2021/01/31 01:58;9.1;0.204;-1.297;-2.045;-0.29;5.921;7.014;0.484;-0.077;-0.121;933.042;4.181;267.624;0;105.195;8.621;60.203;0.149;-0.847;1.06;328.888;9.918;-4.406;4.282;260.3;0.0;0.0;0;105.195
2021/01/31 04:47;9.256;0.2;-1.207;-2.098;-0.284;5.917;7.013;0.43;-0.129;-0.013;933.107;1.654;259.352;0;105.152;8.655;53.085;0.028;-1.084;0.258;328.199;10.03;0.467;1.657;246.283;0.0;0.0;0;105.152
2021/01/31 06:41;8.947;0.0;-2.329;-2.141;-0.293;5.915;7.016;0.494;-0.097;-0.108;933.833;1.091;236.042;0;105.122;8.394;57.466;0.212;-1.75;0.95;325.287;9.817;-4.025;0.834;201.267;0.0;0.0;0;105.122
2021/01/31 06:42;8.889;0.0;-2.377;-2.239;-0.291;5.914;7.016;0.48;-0.134;-0.042;933.833;1.165;270.501;0;105.122;8.348;57.899;0.245;-1.849;0.284;325.209;9.771;-2.595;1.238;245.475;0.0;0.0;0;105.122
2021/01/31 06:44;8.727;0.0;-2.395;-2.157;-0.3;5.919;7.017;0.375;-0.09;-0.031;933.787;1.525;298.063;0;105.122;8.246;58.831;0.11;-2.0;0.401;320.98;9.67;-1.955;1.644;279.633;0.0;0.0;0;105.122
2021/01/31 07:21;9.959;0.894;-1.882;-2.001;-0.292;5.918;7.015;0.496;-0.109;-0.095;933.573;2.491;233.596;0;105.112;9.414;55.171;0.028;-1.147;0.775;306.374;10.532;-3.618;2.458;224.692;0.0;0.0;0;105.112
2021/01/31 07:26;9.943;0.673;-1.434;-2.295;-0.289;5.919;7.013;0.482;-0.128;-0.058;933.558;1.856;280.616;0;105.11;9.486;55.2;0.022;-1.06;-0.077;306.966;10.627;0.075;1.917;214.892;0.0;0.0;0;105.11
2021/01/31 07:30;9.754;0.047;-1.931;-2.011;-0.3;5.921;7.015;0.46;-0.062;-0.131;933.744;1.458;263.686;0;105.11;9.279;56.956;0.075;-1.3;1.828;317.035;10.521;-6.028;1.636;255.192;0.0;0.0;0;105.11
2021/01/31 07:39;9.504;0.0;-2.635;-2.353;-0.295;5.914;7.016;0.432;-0.131;-0.011;933.723;1.249;153.356;0;105.107;8.999;58.75;0.144;-2.062;-0.55;321.228;10.231;0.279;1.285;157.467;0.0;0.0;0;105.109
2021/01/31 07:40;9.454;0.0;-2.515;-2.025;-0.295;5.912;7.016;0.375;-0.071;-0.064;933.814;1.049;166.302;0;105.135;8.982;58.931;0.111;-1.873;-0.196;315.112;10.194;0.083;1.009;184.458;0.0;0.0;0;105.161
2021/01/31 07:44;9.352;0.0;-3.142;-2.142;-0.291;5.906;7.018;0.375;-0.087;-0.041;933.833;0.908;169.351;0;105.753;8.894;59.813;0.155;-2.207;0.359;319.634;9.997;-2.839;0.922;144.458;0.0;0.0;0;105.753
2021/01/31 07:45;9.336;0.0;-3.088;-2.606;-0.293;5.913;7.016;0.491;-0.122;-0.065;933.834;1.298;173.211;0;105.907;8.875;59.99;0.103;-2.189;0.402;330.626;9.966;-1.933;1.051;159.067;0.0;0.0;0;105.907
2021/01/31 07:46;9.329;0.0;-2.775;-2.434;-0.297;5.916;7.016;0.4;-0.116;-0.008;933.834;1.449;184.854;0;106.062;8.856;60.283;0.178;-1.997;-0.048;334.303;9.946;-1.855;0.712;177.317;0.0;0.0;0;106.062
2021/01/31 18:53;11.936;0.0;-0.953;-2.124;-0.294;5.913;7.008;0.496;-0.095;-0.106;932.641;0.973;196.052;0;251.283;11.289;94.32;0.176;-0.704;0.914;345.105;12.886;-1.841;1.327;191.333;0.0;0.0;-0.476;251.283
2021/01/31 18:59;11.951;0.029;-1.422;-2.414;-0.295;5.911;7.008;0.495;-0.093;-0.111;932.74;1.147;193.425;0;252.225;11.31;94.372;0.229;-1.14;0.428;350.918;12.817;-2.842;1.187;176.983;0.0;0.0;-0.476;252.225
2021/01/31 20:10;11.817;0.0;-1.926;-2.232;-0.294;5.907;7.01;0.496;-0.115;-0.078;933.071;0.682;122.97;0;255.086;11.213;95.47;0.077;-1.166;1.575;330.788;12.76;-4.185;0.727;180.853;0.0;0.0;-0.476;255.086
2021/01/31 20:11;11.797;0.0;-2.227;-2.641;-0.294;5.909;7.01;0.488;-0.08;-0.123;933.071;1.103;185.081;0;255.087;11.2;95.457;0.056;-1.561;1.11;340.38;12.727;-2.936;1.128;181.808;0.0;0.0;-0.476;255.087
2021/01/31 20:12;11.811;0.044;-2.194;-2.017;-0.298;5.906;7.012;0.494;-0.107;-0.092;933.066;1.989;178.076;0;255.087;11.191;95.445;0.097;-1.805;0.038;353.163;12.713;-1.261;1.418;163.292;0.0;0.0;-0.476;255.087
2021/01/31 20:13;11.841;0.146;-1.872;-2.163;-0.295;5.908;7.011;0.496;-0.12;-0.066;933.066;1.942;178.76;0;255.087;11.198;95.164;0.125;-1.399;0.366;345.917;12.713;-1.808;1.308;159.233;0.0;0.0;-0.476;255.087
2021/01/31 20:14;11.84;0.102;-1.623;-2.125;-0.292;5.907;7.01;0.379;-0.092;-0.028;933.04;1.291;201.077;0;255.087;11.207;94.962;0.147;-1.373;-0.018;339.465;12.707;-1.238;1.362;191.092;0.0;0.0;-0.476;255.087
2021/01/31 20:18;11.813;0.002;-1.764;-2.483;-0.291;5.911;7.009;0.474;-0.132;-0.037;932.897;1.255;175.7;0;255.089;11.154;94.665;0.084;-1.198;1.209;322.603;12.655;-3.993;1.314;150.5;0.0;0.0;-0.476;255.089
2021/01/31 20:19;11.818;0.0;-1.97;-2.487;-0.299;5.914;7.01;0.497;-0.109;-0.091;932.894;1.137;188.994;0;255.089;11.127;94.485;0.079;-1.634;0.611;330.906;12.627;-1.989;1.27;169.167;0.0;0.0;-0.476;255.089
2021/01/31 20:22;11.819;0.0;-1.931;-2.1;-0.306;5.916;7.011;0.469;-0.066;-0.13;933.072;0.947;185.536;0;255.09;11.127;94.318;0.203;-2.0;-1.246;336.598;12.604;0.279;1.145;172.45;0.0;0.0;-0.476;255.09
2021/01/31 20:23;11.824;0.0;-1.96;-2.423;-0.301;5.917;7.01;0.491;-0.08;-0.12;933.072;0.863;183.064;0;255.09;11.136;94.209;0.205;-1.971;-1.201;332.982;12.596;0.426;0.988;166.833;0.0;0.0;-0.476;255.09
2021/01/31 20:24;11.81;0.0;-2.098;-2.694;-0.291;5.912;7.009;0.439;-0.133;-0.012;933.072;0.969;182.954;0;255.09;11.12;94.183;0.173;-1.975;-0.882;322.78;12.575;0.18;0.967;167.367;0.0;0.0;-0.476;255.09
2021/01/31 20:25;11.803;0.0;-2.274;-2.761;-0.298;5.914;7.01;0.498;-0.116;-0.069;933.063;1.431;175.888;0;255.09;11.127;94.2;0.117;-1.695;0.354;320.312;12.547;-2.737;1.259;156.6;0.0;0.0;-0.476;255.09
2021/01/31 20:26;11.806;0.0;-2.4;-2.457;-0.311;5.919;7.011;0.475;-0.065;-0.126;933.062;1.353;170.425;0;255.09;11.116;94.199;0.026;-1.538;1.644;323.795;12.523;-3.829;1.172;162.708;0.0;0.0;-0.476;255.09
2021/01/31 20:29;11.745;0.0;-3.084;-2.802;-0.302;5.911;7.012;0.458;-0.135;-0.022;932.889;1.566;173.412;0;255.091;11.07;94.306;0.035;-2.531;0.57;300.485;12.4;-2.419;1.204;150.725;0.0;0.0;-0.476;255.092
2021/01/31 20:30;11.746;0.0;-3.31;-3.015;-0.299;5.909;7.012;0.392;-0.108;-0.015;932.888;1.743;168.708;0;255.091;11.072;94.249;0.042;-2.678;0.259;300.797;12.361;-3.36;1.174;150.367;0.0;0.0;-0.476;255.092
2021/01/31 20:31;11.722;0.0;-3.412;-3.072;-0.303;5.912;7.011;0.454;-0.057;-0.134;932.888;1.163;181.667;0;255.091;11.076;94.186;0.071;-3.285;-1.253;304.005;12.325;-0.875;1.238;182.958;0.0;0.0;-0.476;255.092
