fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/11 11:56;0.784;936.171;618.733;109.973;820.604;905.946;989.338;0.377;-0.065;-0.081;941.231;0.738;320.415;24.646;157.786;0.798;66.048;935.381;1224.105;1037.596;223.424;4.483;-0.886;0.388;249.671;0.0;0.0;24.646;157.786
2021/01/11 11:57;0.623;937.106;628.942;109.965;821.801;906.335;989.831;0.443;-0.052;-0.13;941.232;0.741;153.766;24.717;158.029;0.912;65.879;936.123;1201.356;1039.294;223.449;4.586;-2.768;0.444;222.074;0.0;0.0;24.717;158.029
2021/01/11 12:01;1.184;941.589;632.788;109.507;825.542;908.185;991.781;0.459;-0.127;-0.035;941.232;0.542;251.984;24.996;159.005;1.05;65.672;938.861;1202.557;1041.133;224.476;4.755;0.625;0.524;258.792;0.0;0.0;24.996;159.005
2021/01/11 12:02;1.162;942.152;633.178;109.252;827.139;908.7;992.4;0.452;-0.135;-0.02;941.233;0.588;252.393;25.064;159.25;1.181;64.865;938.898;1275.224;1042.183;224.6;4.789;0.938;0.652;274.233;0.0;0.0;25.064;159.25
2021/01/11 12:03;1.222;942.081;632.892;108.984;828.335;909.135;992.816;0.37;-0.078;-0.057;941.233;0.596;299.081;25.131;159.496;1.238;64.247;939.123;1293.065;1041.485;225.015;4.801;-0.671;0.846;288.9;0.0;0.0;25.131;159.496
2021/01/11 12:04;1.35;942.302;627.564;108.858;828.548;909.319;992.863;0.373;-0.091;-0.039;941.233;0.508;295.339;25.197;159.742;1.262;64.229;939.838;1298.088;1041.199;225.257;4.796;-1.108;0.998;281.424;0.0;0.0;25.197;159.741
2021/01/11 12:05;1.601;943.198;617.85;108.734;828.777;909.362;992.749;0.491;-0.094;-0.101;941.234;0.441;270.004;25.262;159.988;1.259;64.218;940.548;1299.38;1041.596;225.109;4.771;0.3;1.098;281.566;0.0;0.0;25.262;159.988
2021/01/11 12:06;1.722;943.181;611.046;108.361;828.897;909.293;992.824;0.415;-0.046;-0.122;941.234;0.625;284.519;25.327;160.234;1.32;64.204;941.811;1301.734;1044.572;225.113;4.725;-2.542;0.929;271.354;0.0;0.0;25.327;160.234
2021/01/11 12:07;1.677;942.751;606.21;108.363;829.57;909.485;993.151;0.383;-0.107;-0.028;941.234;0.789;303.597;25.391;160.481;1.43;63.793;942.772;1302.606;1046.607;225.11;4.7;-3.937;0.729;279.446;0.0;0.0;25.391;160.481
2021/01/11 12:08;1.576;942.71;598.627;108.184;830.437;909.693;993.066;0.45;-0.054;-0.133;941.234;1.01;297.174;25.454;160.728;1.504;63.304;943.402;1302.154;1046.879;224.956;4.732;-3.692;0.718;273.592;0.0;0.0;25.454;160.729
2021/01/11 12:09;1.597;943.353;592.197;108.175;831.329;910.044;993.345;0.457;-0.135;-0.007;941.234;1.053;289.77;25.517;160.977;1.603;62.824;943.755;1300.03;1046.942;224.849;4.768;-2.756;0.702;243.275;0.0;0.0;25.516;160.977
2021/01/11 12:10;1.672;944.816;589.585;108.11;832.626;910.751;994.165;0.493;-0.098;-0.102;941.216;0.929;289.663;25.578;161.225;1.604;62.255;944.488;1297.135;1046.624;224.844;4.796;-1.043;0.759;234.133;0.0;0.0;25.578;161.224
2021/01/11 12:11;1.751;945.643;588.412;108.051;833.774;911.198;994.39;0.378;-0.109;-0.017;941.143;0.787;301.401;25.639;161.473;1.46;62.704;945.478;1293.162;1046.878;224.921;4.838;-0.704;0.785;234.957;0.0;0.0;25.639;161.473
2021/01/11 12:12;1.887;946.362;586.744;107.809;834.616;911.492;994.674;0.375;-0.093;-0.028;941.069;0.716;289.387;25.699;161.722;1.377;63.414;946.015;1286.901;1048.403;225.213;4.886;-2.427;0.775;243.54;0.0;0.0;25.699;161.722
2021/01/11 12:13;1.844;947.386;584.515;106.957;835.139;911.768;995.092;0.418;-0.049;-0.128;941.049;0.868;258.996;25.759;161.971;1.427;63.881;946.098;1278.049;1049.867;225.742;4.913;-4.221;0.853;249.458;0.0;0.0;25.758;161.97
2021/01/11 12:14;1.654;948.321;582.378;106.191;836.407;912.438;995.871;0.497;-0.094;-0.103;941.047;0.952;248.286;25.818;162.224;1.561;63.776;945.879;1268.841;1049.654;225.759;4.929;-3.414;0.817;235.117;0.0;0.0;25.817;162.22
2021/01/11 12:15;1.523;949.165;580.606;105.965;837.818;913.172;996.566;0.473;-0.131;-0.038;941.047;0.917;247.101;25.875;162.473;1.585;63.306;946.236;1259.069;1049.446;225.554;4.971;-2.037;0.738;228.458;0.0;0.0;25.874;162.47
2021/01/11 12:16;1.56;949.3;579.0;106.152;838.523;913.456;996.713;0.374;-0.091;-0.048;941.048;0.887;260.601;25.93;162.715;1.534;63.461;946.706;1247.156;1048.819;225.631;5.019;-1.346;0.763;234.875;0.0;0.0;25.931;162.72
2021/01/11 12:17;1.697;948.711;577.267;105.476;838.801;913.45;996.494;0.444;-0.135;-0.016;941.047;0.833;269.874;25.986;162.966;1.584;63.502;947.102;1235.149;1048.866;225.692;5.073;-2.143;0.792;235.783;0.0;0.0;25.987;162.971
2021/01/11 12:18;1.765;948.524;575.055;105.442;838.888;913.334;996.224;0.451;-0.053;-0.131;941.047;0.786;258.665;26.042;163.217;1.635;63.368;948.324;1223.816;1050.165;225.665;5.134;-1.815;0.682;234.867;0.0;0.0;26.043;163.221
2021/01/11 12:19;1.754;949.118;571.963;105.214;839.325;913.455;996.337;0.447;-0.135;-0.048;941.047;0.857;246.641;26.097;163.468;1.702;63.334;949.29;1211.426;1051.25;225.668;5.21;-2.142;0.624;226.3;0.0;0.0;26.097;163.472
