fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/29 18:43;9.888;0.0;-4.166;-2.198;-0.301;5.9;7.02;0.393;-0.052;-0.092;940.273;0.18;282.606;0;249.33;9.833;97.888;0.0;-3.257;1.327;293.55;10.318;-0.393;0.194;178.734;0.0;0.0;-0.402;249.333
2021/01/29 18:44;9.883;0.0;-4.341;-2.418;-0.308;5.904;7.021;0.399;-0.113;-0.013;940.273;0.291;347.733;0;249.488;9.86;97.793;0.001;-3.72;0.312;295.18;10.254;1.109;0.3;220.358;0.0;0.0;-0.402;249.491
2021/01/29 18:45;9.809;0.0;-4.466;-2.9;-0.313;5.911;7.02;0.447;-0.052;-0.132;940.274;0.377;347.309;0;249.647;9.873;97.536;0.001;-4.098;-0.081;295.077;10.194;1.67;0.348;253.425;0.0;0.0;-0.402;249.649
2021/01/29 18:46;9.683;0.0;-4.627;-2.688;-0.311;5.905;7.02;0.386;-0.058;-0.081;940.273;0.416;186.347;0;249.805;9.837;97.167;0.002;-4.226;-0.226;294.146;10.136;-0.057;0.347;222.175;0.0;0.0;-0.402;249.808
2021/01/29 18:47;9.555;0.0;-4.768;-3.007;-0.306;5.904;7.019;0.374;-0.083;-0.04;940.273;0.482;27.031;0;249.963;9.745;97.076;0.003;-4.474;-0.244;293.885;10.081;-0.686;0.368;107.833;0.0;0.0;-0.402;249.966
2021/01/29 18:48;9.486;0.0;-4.845;-3.621;-0.302;5.905;7.017;0.486;-0.129;-0.058;940.272;0.644;34.117;0;250.121;9.653;97.449;0.007;-4.69;0.423;293.797;10.031;-1.357;0.463;37.492;0.0;0.0;-0.402;250.123
2021/01/29 18:49;9.533;0.0;-4.783;-4.418;-0.299;5.91;7.014;0.421;-0.048;-0.123;940.272;0.697;33.517;0;250.279;9.616;98.009;0.01;-5.269;-0.24;293.322;9.983;-1.575;0.537;41.425;0.0;0.0;-0.402;250.281
2021/01/29 18:50;9.616;0.0;-4.583;-4.78;-0.306;5.917;7.013;0.498;-0.109;-0.084;940.272;0.646;29.406;0;250.436;9.636;98.458;0.014;-5.213;-0.593;292.32;9.944;-1.393;0.518;38.567;0.0;0.0;-0.402;250.438
2021/01/29 18:51;9.644;0.0;-4.463;-4.167;-0.298;5.907;7.015;0.387;-0.056;-0.082;940.271;0.636;25.232;0;250.593;9.657;98.628;0.012;-4.662;-0.105;291.266;9.915;-0.821;0.436;45.333;0.0;0.0;-0.402;250.596
2021/01/29 18:52;9.615;0.0;-4.407;-3.854;-0.297;5.904;7.015;0.489;-0.125;-0.055;940.271;0.553;25.723;0;250.751;9.643;98.578;0.008;-4.551;0.027;290.712;9.892;-0.19;0.39;89.9;0.0;0.0;-0.402;250.753
