fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/30 02:11;9.657;0.123;-0.233;-0.121;-0.301;5.911;7.017;0.393;-0.055;-0.097;936.165;1.705;207.973;0;105.556;9.568;100.0;0.373;0.063;-2.11;365.237;10.565;-2.708;1.962;209.325;0.0;0.0;0;105.556
2021/01/30 05:48;9.632;0.0;-0.21;-1.76;-0.282;5.922;7.009;0.489;-0.124;-0.058;934.59;2.12;202.24;0;105.502;9.611;100.0;0.438;0.298;-2.503;364.336;10.374;49.403;2.176;198.042;1.0;0.0;0;105.502
2021/01/30 06:31;9.205;0.0;0.301;0.915;-0.318;5.911;7.025;0.391;-0.055;-0.093;934.767;0.871;265.659;0;105.491;9.228;100.0;0.381;-0.968;-3.13;355.156;9.891;43.062;0.873;255.085;1.0;0.0;0;105.491
2021/01/30 06:39;9.078;0.0;-0.465;-0.563;-0.284;5.902;7.017;0.4;-0.121;-0.008;933.83;1.306;176.773;0;105.489;9.134;98.328;0.235;-0.848;-3.684;350.722;9.468;38.563;0.825;154.083;0.0;0.0;0;105.489
2021/01/30 06:40;9.1;0.003;-0.363;0.229;-0.287;5.895;7.021;0.414;-0.126;-0.007;933.751;1.221;157.27;0;105.489;9.126;98.747;0.24;-0.618;-4.69;350.91;9.47;37.326;0.736;135.712;0.0;0.0;0;105.489
2021/01/30 06:41;9.083;0.042;-0.221;0.407;-0.294;5.896;7.022;0.374;-0.094;-0.032;933.578;0.797;122.108;0;105.488;9.132;99.18;0.268;-0.216;-4.288;350.554;9.474;34.169;0.647;124.695;0.0;0.0;0;105.488
2021/01/30 06:42;9.05;0.047;-0.088;0.705;-0.314;5.901;7.025;0.391;-0.053;-0.088;933.467;0.782;74.3;0;105.488;9.107;99.449;0.273;-0.391;-2.314;350.085;9.471;34.324;0.655;115.342;0.0;0.0;0;105.488
2021/01/30 06:57;9.006;0.46;0.716;-0.884;-0.27;5.906;7.012;0.42;-0.13;-0.009;934.218;0.566;187.814;0;105.485;8.973;100.0;0.428;-0.073;-3.344;358.154;9.457;35.877;0.417;172.942;0.0;0.0;0;105.484
2021/01/30 07:30;8.447;0.187;1.102;-1.208;-0.305;5.926;7.017;0.469;-0.064;-0.128;933.869;0.344;267.455;0;105.476;8.529;99.733;0.426;-1.006;-2.978;359.585;9.095;54.525;0.456;260.1;0.0;0.0;0;105.476
2021/01/30 07:31;8.441;0.22;1.096;-0.47;-0.305;5.92;7.02;0.497;-0.093;-0.105;933.829;0.373;288.775;0;105.475;8.526;99.91;0.417;-1.013;-5.389;359.55;9.094;52.745;0.355;271.257;0.0;0.0;0;105.476
2021/01/30 07:34;8.392;0.187;1.036;-0.747;-0.3;5.919;7.018;0.496;-0.086;-0.113;933.829;0.618;329.855;0;105.475;8.509;100.0;0.364;0.302;-2.839;359.516;9.083;41.001;0.644;317.133;0.0;0.0;0;105.475
2021/01/30 07:37;8.312;0.206;1.015;-0.598;-0.299;5.917;7.018;0.374;-0.072;-0.065;933.828;0.366;266.797;0;105.474;8.404;100.0;0.386;-0.84;-2.459;359.424;9.06;48.579;0.462;246.9;0.0;0.0;0;105.474
2021/01/30 07:38;8.295;0.247;1.035;-0.389;-0.301;5.916;7.019;0.444;-0.054;-0.131;933.799;0.362;228.368;0;105.474;8.388;100.0;0.415;-1.007;-3.327;359.345;9.05;48.705;0.406;240.108;0.0;0.0;0;105.474
2021/01/30 07:53;8.383;0.533;1.377;-0.464;-0.297;5.918;7.018;0.491;-0.076;-0.126;933.647;0.974;205.562;0;107.385;8.384;100.0;0.447;0.745;-2.402;359.534;9.09;49.68;0.963;212.667;0.0;0.0;0;107.385
2021/01/30 07:54;8.366;0.504;1.444;-0.66;-0.291;5.917;7.016;0.463;-0.125;-0.051;933.623;0.945;213.096;0;107.541;8.377;100.0;0.441;0.01;-2.16;359.592;9.104;55.678;1.041;199.358;0.0;0.0;0;107.541
2021/01/30 07:55;8.357;0.474;1.454;-0.13;-0.288;5.91;7.017;0.472;-0.13;-0.043;933.541;0.707;208.229;0;107.696;8.356;100.0;0.437;-0.409;-2.502;358.896;9.114;54.785;0.809;191.558;0.0;0.0;0;107.696
2021/01/30 07:56;8.362;0.436;1.404;0.006;-0.29;5.91;7.018;0.415;-0.052;-0.106;933.464;0.696;205.518;0;107.852;8.344;100.0;0.428;0.006;-2.046;357.138;9.117;51.352;0.68;196.623;0.0;0.0;0;107.852
2021/01/30 08:15;9.093;0.802;2.518;1.485;-0.286;5.903;7.018;0.46;-0.134;-0.027;933.264;2.685;208.452;0;110.835;8.994;100.0;0.375;0.858;-2.187;357.703;9.749;45.598;2.417;205.333;0.0;0.0;0;110.838
2021/01/30 08:25;9.106;0.399;2.971;0.8;-0.284;5.911;7.016;0.403;-0.122;-0.009;933.606;2.368;230.589;0;112.433;9.062;100.0;0.339;1.167;-3.185;360.052;9.731;42.25;1.964;195.1;0.0;0.0;0;112.435
2021/01/30 08:30;9.018;0.339;2.414;-0.577;-0.297;5.928;7.016;0.388;-0.055;-0.088;933.83;2.575;284.469;0.354;113.242;9.01;100.0;0.353;0.443;-2.395;360.731;9.721;60.394;2.881;274.058;0.0;0.0;0.354;113.242
2021/01/30 08:42;8.046;0.0;4.823;4.395;-0.27;5.903;7.019;0.398;-0.117;-0.01;933.72;1.166;225.804;2.225;115.202;8.091;98.424;0.671;2.646;-3.378;352.643;8.582;34.059;1.182;217.375;1.0;0.0;2.225;115.201
