fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TemPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/06 01:59;-4.34;0.0;-3.962;-4.711;-0.277;5.932;7.041;0.424;-0.055;-0.126;931.457;0.306;311.971;0;111.953;-4.719;89.348;0.295;-3.004;0.181;223.11;-5.005;-2.209;0.384;247.75;0.0;0.0;0;111.953
2021/01/06 02:00;-4.417;0.0;-3.913;-4.911;-0.276;5.933;7.04;0.372;-0.079;-0.061;931.458;0.385;291.102;0;111.953;-4.831;89.962;0.272;-2.847;0.691;222.941;-5.059;-2.315;0.449;230.0;0.0;0.0;0;111.953
2021/01/06 02:01;-4.548;0.0;-3.886;-4.81;-0.276;5.932;7.04;0.424;-0.134;-0.013;931.458;0.438;257.176;0;111.953;-4.934;90.55;0.278;-2.779;0.364;222.92;-5.112;-2.19;0.421;227.691;0.0;0.0;0;111.953
2021/01/06 02:02;-4.668;0.0;-3.887;-4.771;-0.276;5.932;7.04;0.376;-0.069;-0.08;931.458;0.464;246.711;0;111.953;-5.011;91.152;0.287;-2.779;0.114;222.899;-5.158;-1.366;0.363;241.116;0.0;0.0;0;111.953
2021/01/06 02:03;-4.781;0.0;-3.888;-4.774;-0.276;5.932;7.041;0.376;-0.067;-0.078;931.457;0.592;244.151;0;111.953;-5.057;91.592;0.315;-2.854;-0.013;222.862;-5.197;-0.889;0.386;241.298;0.0;0.0;0;111.953
2021/01/06 02:04;-4.888;0.0;-3.805;-4.736;-0.276;5.932;7.041;0.399;-0.055;-0.114;931.458;0.626;240.253;0;111.953;-5.108;91.869;0.307;-2.848;0.433;222.828;-5.242;-2.281;0.446;251.323;0.0;0.0;0;111.953
2021/01/06 02:05;-4.931;0.0;-3.435;-4.668;-0.276;5.932;7.041;0.391;-0.115;-0.016;931.457;0.426;246.282;0;111.952;-5.118;92.227;0.296;-2.94;0.21;222.792;-5.282;-2.357;0.496;276.183;0.0;0.0;0;111.952
2021/01/06 02:06;-4.948;0.0;-3.091;-4.609;-0.276;5.932;7.041;0.376;-0.092;-0.043;931.464;0.343;247.37;0;111.952;-5.075;92.591;0.315;-2.873;0.762;222.884;-5.308;-2.909;0.543;317.575;0.0;0.0;0;111.952
2021/01/06 02:07;-4.971;0.0;-3.101;-4.698;-0.275;5.932;7.04;0.387;-0.061;-0.088;931.486;0.376;252.637;0;111.952;-5.034;92.663;0.288;-2.812;2.214;222.99;-5.322;-5.378;0.649;243.542;0.0;0.0;0;111.952
2021/01/06 02:08;-4.964;0.0;-3.212;-4.839;-0.274;5.933;7.041;0.371;-0.073;-0.071;931.491;0.513;278.25;0;111.952;-5.0;92.425;0.267;-2.861;2.079;223.032;-5.338;-4.638;0.676;80.8;0.0;0.0;0;111.952
2021/01/06 02:09;-4.927;0.0;-3.234;-4.686;-0.277;5.934;7.041;0.382;-0.103;-0.03;931.47;0.45;304.223;0;111.952;-4.932;92.177;0.218;-2.61;1.672;223.075;-5.349;-3.123;0.637;46.211;0.0;0.0;0;111.952
2021/01/06 02:10;-4.893;0.0;-3.159;-4.631;-0.277;5.934;7.041;0.469;-0.076;-0.131;931.482;0.442;331.103;0;111.952;-4.868;91.908;0.216;-2.549;1.498;223.202;-5.353;-3.72;0.537;90.527;0.0;0.0;0;111.952
2021/01/06 02:11;-4.859;0.0;-3.008;-4.523;-0.275;5.933;7.041;0.467;-0.072;-0.13;931.515;0.542;182.479;0;111.951;-4.836;91.654;0.321;-2.712;0.792;223.209;-5.364;-3.037;0.486;149.825;0.0;0.0;0;111.952
