fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/08/15 15:48;40.502;713.476;845.586;224.53;720.34;676.339;659.118;0.464;-0.33;-0.154;937.274;2.469;203.029;57.105;222.413;40.789;9.387;709.086;928.421;990.898;440.872;45.133;0.119;2.675;199.767;0.0;0.0;57.103;222.418
2021/08/15 15:49;40.251;711.385;843.933;223.123;719.164;675.489;658.451;0.282;-0.1;-0.349;937.282;2.697;211.569;56.975;222.796;40.643;9.282;707.911;926.085;991.307;440.695;45.201;2.513;3.196;216.2;0.0;0.0;56.974;222.796
2021/08/15 15:50;40.082;709.461;841.806;222.559;718.14;674.447;657.223;0.261;-0.171;-0.463;937.289;3.264;213.373;56.844;223.17;40.462;9.38;706.886;923.356;991.558;440.692;45.17;0.407;3.576;220.892;0.0;0.0;56.844;223.171
2021/08/15 15:51;39.846;708.722;842.022;223.913;718.995;675.183;657.823;0.232;-0.432;-0.339;937.293;3.471;222.751;56.714;223.544;40.258;9.409;708.079;923.01;993.599;440.186;45.071;-3.008;3.152;223.283;0.0;0.0;56.713;223.544
2021/08/15 16:08;40.137;704.276;840.892;242.49;710.567;669.383;652.356;0.426;-0.403;-0.074;937.086;3.722;227.666;54.363;229.54;40.566;9.216;699.726;916.873;1029.822;442.453;45.025;-6.872;4.064;224.167;0.0;0.0;54.362;229.54
2021/08/15 16:09;40.175;705.909;844.242;243.945;713.062;671.587;654.627;0.215;-0.224;-0.402;937.086;2.964;199.796;54.217;229.874;40.471;9.295;702.225;920.997;1035.628;442.432;45.031;-2.856;3.587;201.233;0.0;0.0;54.217;229.873
2021/08/15 16:10;40.385;710.05;847.855;244.715;716.642;675.22;658.399;0.268;-0.025;-0.389;937.094;2.45;192.513;54.071;230.205;40.477;9.349;706.117;925.549;1042.072;442.566;45.103;2.073;3.111;195.617;0.0;0.0;54.072;230.205
2021/08/15 16:11;40.259;710.682;849.033;246.213;717.619;676.537;659.641;0.41;-0.146;-0.048;937.095;3.125;203.822;53.925;230.534;40.504;9.304;707.265;927.601;1048.352;442.582;45.179;-2.774;2.971;195.567;0.0;0.0;53.925;230.534
2021/08/15 16:12;40.111;703.267;845.241;248.981;710.883;670.533;653.196;0.273;0.004;-0.401;937.087;3.151;195.772;53.776;230.866;40.403;9.352;700.568;923.927;1045.409;442.809;45.228;-1.983;2.584;178.3;0.0;0.0;53.778;230.86
2021/08/15 16:13;40.245;694.809;839.968;253.025;700.762;661.474;643.721;0.466;-0.324;-0.051;937.087;2.587;186.657;53.627;231.19;40.434;9.343;690.293;918.854;1041.365;443.347;45.334;-0.275;2.784;183.3;0.0;0.0;53.629;231.185
2021/08/15 16:14;40.227;689.786;839.921;258.265;696.205;657.398;639.494;0.356;-0.475;-0.06;937.087;2.583;196.095;53.483;231.502;40.452;9.292;685.478;919.558;1044.817;444.096;45.367;-1.864;2.981;207.05;0.0;0.0;53.481;231.507
2021/08/15 16:15;40.377;688.013;840.894;262.826;694.002;655.463;637.517;0.465;-0.398;-0.07;937.086;2.341;215.539;53.334;231.823;40.436;9.391;683.125;921.013;1046.403;445.032;45.385;2.044;2.44;204.917;0.0;0.0;53.332;231.829
2021/08/15 16:16;40.715;691.017;840.774;264.104;694.968;656.457;638.504;0.291;-0.267;-0.416;937.087;2.242;215.765;53.185;232.142;40.64;9.388;683.605;920.827;1048.349;445.505;45.51;0.596;2.214;196.633;0.0;0.0;53.182;232.148
2021/08/15 16:17;40.844;698.863;844.012;261.123;703.108;663.798;645.977;0.505;-0.276;-0.015;937.088;2.587;199.52;53.034;232.459;40.901;9.232;691.57;923.462;1054.338;445.5;45.653;-2.36;2.435;198.6;0.0;0.0;53.031;232.465
2021/08/15 16:18;40.72;703.92;845.819;259.389;709.088;669.038;651.34;0.306;-0.361;-0.32;937.088;2.647;202.98;52.881;232.775;41.001;9.136;697.508;924.246;1057.852;445.497;45.749;-2.818;2.809;205.583;0.0;0.0;52.88;232.78
2021/08/15 16:19;40.526;706.23;846.606;259.236;712.641;672.36;654.653;0.403;-0.401;-0.139;937.088;2.749;222.384;52.73;233.088;40.839;9.187;701.068;924.473;1061.087;445.915;45.716;-1.76;3.01;218.983;0.0;0.0;52.727;233.093
2021/08/15 16:20;40.433;706.553;846.203;258.259;713.413;673.122;655.331;0.425;-0.207;-0.08;937.081;3.302;237.85;52.577;233.399;40.68;9.298;702.318;924.134;1063.388;446.055;45.657;-2.387;2.978;230.825;0.0;0.0;52.575;233.404
2021/08/15 16:21;40.408;699.807;841.121;259.695;706.526;666.915;648.989;0.308;-0.032;-0.407;937.07;3.116;230.883;52.425;233.709;40.671;9.33;695.748;919.051;1059.374;445.558;45.649;-3.207;2.823;216.3;0.0;0.0;52.422;233.713
2021/08/15 16:22;40.401;690.724;834.067;262.069;698.444;659.799;641.68;0.289;-0.067;-0.378;937.057;3.298;224.508;52.271;234.016;40.643;9.315;687.699;911.443;1051.119;445.637;45.633;-2.175;3.228;210.833;0.0;0.0;52.269;234.021
