fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/13 06:34;-10.545;0.0;-3.283;-5.35;-0.269;5.939;7.05;0.455;-0.143;-0.031;948.356;0.854;322.213;0;110.559;-10.618;93.096;0.809;-2.841;0.769;215.483;-10.057;-2.088;0.846;314.658;0.0;0.0;0;110.559
2021/01/13 06:35;-10.508;0.0;-3.224;-5.237;-0.267;5.938;7.051;0.388;-0.059;-0.102;948.356;0.935;309.967;0;110.558;-10.602;93.935;0.755;-2.746;1.027;215.202;-10.137;-3.729;0.976;301.517;0.0;0.0;0;110.559
2021/01/13 06:36;-10.433;0.0;-3.074;-5.235;-0.268;5.941;7.05;0.37;-0.084;-0.053;948.356;0.966;320.478;0;110.558;-10.532;94.542;0.731;-2.848;-0.518;215.295;-10.21;-1.181;0.949;313.908;0.0;0.0;0;110.559
2021/01/13 06:37;-10.365;0.0;-2.873;-5.041;-0.271;5.943;7.05;0.371;-0.086;-0.053;948.355;0.945;334.464;0;110.558;-10.453;95.094;0.755;-2.69;-0.284;215.386;-10.263;-2.327;0.831;319.108;0.0;0.0;0;110.559
2021/01/13 06:38;-10.326;0.0;-2.692;-4.978;-0.267;5.941;7.05;0.493;-0.104;-0.099;948.355;0.814;331.146;0;110.558;-10.41;95.467;0.699;-2.688;-0.48;215.371;-10.309;-0.171;0.769;319.408;0.0;0.0;0;110.559
2021/01/13 06:39;-10.311;0.0;-2.553;-5.002;-0.264;5.94;7.05;0.371;-0.077;-0.065;948.354;0.615;326.137;0;110.558;-10.386;95.626;0.666;-2.709;-0.846;215.377;-10.349;2.033;0.587;311.892;0.0;0.0;0;110.559
2021/01/13 06:40;-10.298;0.0;-2.486;-4.426;-0.267;5.936;7.052;0.411;-0.13;-0.016;948.354;0.46;313.157;0;110.558;-10.374;95.459;0.554;-2.566;-0.071;215.602;-10.381;0.703;0.429;301.158;0.0;0.0;0;110.558
2021/01/13 06:41;-10.269;0.0;-2.509;-4.323;-0.271;5.937;7.052;0.39;-0.114;-0.02;948.354;0.42;304.15;0;110.558;-10.378;95.037;0.565;-2.462;0.671;215.623;-10.41;-2.048;0.396;304.883;0.0;0.0;0;110.558
2021/01/13 06:42;-10.219;0.0;-2.569;-5.162;-0.264;5.94;7.051;0.491;-0.121;-0.076;948.354;0.452;314.908;0;110.558;-10.37;94.693;0.76;-2.594;-0.487;215.437;-10.445;-1.034;0.374;314.4;0.0;0.0;0;110.558
2021/01/13 06:43;-10.191;0.0;-2.578;-5.447;-0.261;5.941;7.05;0.373;-0.095;-0.038;948.353;0.441;330.161;0;110.558;-10.334;94.489;0.714;-2.588;-0.246;215.436;-10.471;-0.009;0.365;304.433;0.0;0.0;0;110.558
