fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/08/24 17:11;32.405;718.579;683.805;205.648;703.185;712.833;675.533;0.397;-0.439;-0.135;932.775;1.754;45.714;41.682;244.731;35.867;25.713;710.323;703.806;1000.056;417.445;40.029;-0.646;1.653;50.6;0.0;0.0;41.682;244.73
2021/08/24 17:53;32.91;537.546;447.677;157.093;519.022;541.48;507.632;0.427;-0.002;-0.169;932.221;0.71;170.4;34.21;253.757;35.563;25.732;520.591;461.266;801.461;416.848;40.019;-1.496;0.765;207.283;0.0;0.0;34.21;253.757
2021/08/24 17:54;32.85;581.899;470.47;157.61;560.678;587.678;554.141;0.327;0.0;-0.338;932.191;0.985;151.238;34.026;253.954;35.641;25.755;566.146;487.506;857.41;417.032;40.147;-4.305;0.892;222.517;0.0;0.0;34.027;253.954
2021/08/24 17:55;33.04;551.724;452.679;157.392;533.383;558.744;524.54;0.289;-0.071;-0.371;932.191;0.879;274.936;33.844;254.151;35.756;25.769;536.344;469.401;827.309;417.607;40.218;-2.35;0.86;258.848;0.0;0.0;33.844;254.151
2021/08/24 17:56;33.224;573.764;464.169;158.193;554.189;581.895;546.731;0.351;0.014;-0.313;932.191;0.785;272.982;33.661;254.348;35.843;25.783;558.578;482.623;858.469;418.152;40.207;-2.077;0.812;241.264;0.0;0.0;33.661;254.348
2021/08/24 17:57;33.173;630.567;497.139;161.754;606.846;639.42;603.473;0.407;-0.462;-0.13;932.191;1.005;273.392;33.478;254.544;35.723;25.85;616.303;517.321;927.348;417.918;40.123;-2.652;0.907;227.808;0.0;0.0;33.478;254.544
2021/08/24 17:58;33.162;643.566;505.904;165.158;618.482;652.651;616.181;0.41;-0.497;-0.134;932.191;0.859;265.604;33.294;254.739;35.611;25.974;629.84;525.587;945.233;417.497;40.048;-1.234;0.744;237.357;0.0;0.0;33.295;254.739
2021/08/24 17:59;33.335;641.668;505.215;167.763;615.44;650.632;614.369;0.267;-0.113;-0.434;932.19;0.78;207.785;33.111;254.934;35.722;25.943;627.426;524.121;946.275;417.663;40.09;-0.983;0.63;199.382;0.0;0.0;33.111;254.933
2021/08/24 18:00;33.47;631.709;500.755;170.28;606.198;641.704;605.882;0.466;-0.083;-0.151;932.191;0.906;170.61;32.927;255.127;35.87;25.712;617.699;518.396;938.521;418.41;40.16;-1.32;0.722;162.958;0.0;0.0;32.927;255.127
2021/08/24 18:01;33.624;594.911;481.701;171.959;572.135;605.842;570.464;0.403;-0.374;-0.126;932.191;0.774;195.619;32.743;255.32;36.054;25.542;580.942;496.75;899.269;418.657;40.193;-2.451;0.728;191.695;0.0;0.0;32.743;255.32
2021/08/24 18:02;33.688;541.221;452.415;172.581;520.825;551.913;517.995;0.295;-0.318;-0.418;932.191;0.766;231.842;32.559;255.513;36.413;25.452;526.203;464.647;838.968;418.946;40.214;-1.863;0.66;200.853;0.0;0.0;32.559;255.513
2021/08/24 18:03;33.622;499.901;430.067;173.024;483.721;513.223;480.683;0.344;-0.363;-0.273;932.19;0.949;217.696;32.375;255.706;36.728;25.798;487.124;441.226;798.471;419.942;40.18;-1.609;0.813;158.6;0.0;0.0;32.375;255.706
2021/08/24 18:04;33.377;448.723;403.304;173.66;435.296;462.373;431.935;0.509;-0.26;-0.019;932.19;1.089;172.768;32.191;255.897;36.78;26.257;437.134;411.834;743.032;420.124;40.077;-1.711;1.112;136.567;0.0;0.0;32.19;255.897
