fecha;TempAi1;Bn;Gh;Dh;CelulaTop;CelulaMid;CelulaBot;TopCal;MidCal;BotCal;Presion;VVien1;DVien1;ElevSol1;OrientSol1;TempAi2;HumRel;Bn2;G41;Gn;Pirgeo;TempPirgeo;Auxil;VVien2;DVien2;Lluvia;Limpieza;ElevSol2;OrientSol2
2021/01/17 05:27;-4.531;0.047;-2.649;-4.38;-0.282;5.935;7.042;0.397;-0.055;-0.114;947.984;0.291;26.433;0;109.591;-4.536;97.775;0.435;-2.108;0.664;230.887;-5.017;-2.995;0.309;198.492;0.0;0.0;0;109.591
2021/01/17 05:28;-4.55;0.091;-2.594;-4.208;-0.278;5.931;7.042;0.482;-0.082;-0.122;947.984;0.482;51.716;0;109.59;-4.551;97.646;0.326;-1.854;1.02;231.067;-5.037;-3.24;0.292;110.336;0.0;0.0;0;109.59
2021/01/17 05:29;-4.512;0.402;-2.466;-4.573;-0.279;5.935;7.042;0.416;-0.129;-0.014;947.983;0.57;65.977;0;109.59;-4.559;97.653;0.367;-1.904;0.722;231.159;-5.051;-2.743;0.333;67.082;0.0;0.0;0;109.59
2021/01/17 05:30;-4.346;0.799;-2.267;-4.099;-0.282;5.933;7.043;0.412;-0.052;-0.122;947.983;0.456;92.105;0;109.59;-4.525;97.804;0.358;-1.681;0.87;231.238;-5.043;-1.718;0.399;79.629;0.0;0.0;0;109.59
2021/01/17 05:31;-4.144;1.221;-2.0;-3.318;-0.289;5.932;7.045;0.37;-0.078;-0.054;947.983;0.293;91.389;0;109.59;-4.361;98.098;0.276;-1.23;1.12;231.427;-5.008;-0.954;0.376;120.15;0.0;0.0;0;109.59
2021/01/17 05:42;-4.411;0.394;-2.317;-4.507;-0.265;5.929;7.042;0.436;-0.135;-0.035;947.941;0.34;38.097;0;109.588;-4.356;98.255;0.514;-2.328;-0.437;231.438;-5.003;-1.072;0.237;162.356;0.0;0.0;0;109.588
2021/01/17 05:43;-4.413;0.482;-2.164;-4.137;-0.264;5.925;7.043;0.399;-0.119;-0.013;947.952;0.366;190.652;0;109.588;-4.365;98.31;0.612;-2.429;-0.877;231.172;-5.001;-0.608;0.36;240.543;0.0;0.0;0;109.588
2021/01/17 05:44;-4.426;0.155;-2.046;-3.598;-0.272;5.926;7.045;0.384;-0.105;-0.019;947.982;0.342;313.245;0;109.588;-4.396;98.297;0.568;-2.32;-0.955;230.875;-5.006;-0.181;0.345;262.75;0.0;0.0;0;109.588
2021/01/17 05:45;-4.424;0.0;-2.038;-4.043;-0.274;5.931;7.043;0.398;-0.118;-0.016;947.983;0.262;299.828;0;109.587;-4.415;98.252;0.48;-2.106;0.037;230.89;-5.021;-1.546;0.192;232.11;0.0;0.0;0;109.587
2021/01/17 05:46;-4.411;0.0;-2.119;-4.505;-0.272;5.933;7.042;0.405;-0.125;-0.022;947.982;0.268;299.853;0;109.587;-4.397;98.293;0.43;-1.789;1.115;230.774;-5.033;-2.869;0.22;234.51;0.0;0.0;0;109.587
2021/01/17 05:47;-4.399;0.0;-2.246;-4.653;-0.271;5.933;7.042;0.45;-0.055;-0.13;947.983;0.33;281.552;0;109.587;-4.372;98.302;0.404;-1.771;0.504;230.379;-5.041;-1.76;0.303;223.015;0.0;0.0;0;109.587
2021/01/17 05:48;-4.364;0.0;-2.394;-4.26;-0.274;5.931;7.042;0.46;-0.064;-0.133;947.983;0.31;236.322;0;109.587;-4.37;98.143;0.411;-1.971;0.146;230.3;-5.05;-1.05;0.263;203.973;0.0;0.0;0;109.587
2021/01/17 05:49;-4.251;0.158;-2.435;-4.017;-0.282;5.933;7.042;0.489;-0.121;-0.071;947.983;0.358;213.258;0;109.587;-4.316;98.09;0.464;-2.156;0.142;230.331;-5.048;-2.272;0.267;213.242;0.0;0.0;0;109.587
2021/01/17 05:50;-4.113;0.38;-2.332;-3.476;-0.288;5.933;7.043;0.387;-0.06;-0.098;947.984;0.41;224.411;0;109.586;-4.178;98.265;0.419;-1.729;0.737;230.202;-5.03;-3.928;0.323;220.8;0.0;0.0;0;109.586
2021/01/17 05:51;-4.002;0.575;-2.17;-3.155;-0.288;5.932;7.044;0.374;-0.098;-0.037;947.984;0.404;192.084;0;109.586;-4.075;98.336;0.33;-1.06;1.741;230.256;-5.009;-4.39;0.412;185.45;0.0;0.0;0;109.586
2021/01/17 07:04;-5.076;0.0;-3.686;-4.919;-0.274;5.934;7.042;0.483;-0.08;-0.125;948.17;0.29;356.9;0;109.573;-5.001;97.181;0.327;-2.815;0.771;225.524;-5.04;-2.131;0.322;182.725;0.0;0.0;0;109.573
2021/01/17 07:05;-5.187;0.0;-3.831;-5.037;-0.275;5.934;7.043;0.37;-0.089;-0.043;948.169;0.297;197.703;0;109.573;-5.13;96.708;0.333;-3.093;0.721;225.442;-5.098;-2.125;0.317;159.058;0.0;0.0;0;109.573
2021/01/17 07:06;-5.208;0.0;-3.924;-5.28;-0.273;5.934;7.043;0.38;-0.105;-0.029;948.17;0.247;155.969;0;109.573;-5.186;96.85;0.386;-3.492;0.069;225.63;-5.151;-1.429;0.232;225.984;0.0;0.0;0;109.573
2021/01/17 07:07;-5.161;0.0;-3.929;-5.323;-0.273;5.934;7.043;0.479;-0.077;-0.126;948.169;0.284;239.502;0;109.573;-5.168;97.44;0.397;-3.449;0.398;225.71;-5.193;-2.074;0.277;232.009;0.0;0.0;0;109.573
2021/01/17 07:08;-5.093;0.0;-3.846;-5.203;-0.277;5.934;7.043;0.495;-0.115;-0.077;948.169;0.281;175.385;0;109.573;-5.127;97.968;0.372;-3.206;0.833;225.932;-5.221;-2.105;0.307;159.642;0.0;0.0;0;109.573
2021/01/17 07:09;-4.935;0.139;-3.729;-5.256;-0.276;5.935;7.042;0.409;-0.126;-0.013;948.169;0.332;108.138;0;109.572;-5.081;98.186;0.366;-3.2;0.489;226.257;-5.226;-1.708;0.35;111.1;0.0;0.0;0;109.572
2021/01/17 07:10;-4.757;0.585;-3.541;-4.967;-0.276;5.934;7.043;0.384;-0.108;-0.022;948.17;0.466;67.668;0;109.572;-4.96;98.279;0.388;-3.219;-0.122;226.375;-5.207;-1.413;0.375;116.917;0.0;0.0;0;109.572
